contributors	truncated	text	in_reply_to_status_id	id	source	retweeted	coordinates	in_reply_to_screen_name	id_str	retweet_count	in_reply_to_user_id	favorited	geo	in_reply_to_user_id_str	possibly_sensitive	screen_name	created_at	in_reply_to_status_id_str	place
None	False	Politiek en media blind voor racistisch geweld Marokkanen. We hebben geen voetbalprobleem maar een Marokkanenprobleem: http://t.co/gCb7gDGb	None	276332198796341248	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	276332198796341248	1834	None	False	None	None	False	geertwilderspvv	Wed Dec 05 14:28:24 +0000 2012	None	None
False	None	False	Er is maar 1 effectieve aanpak: daders strippen van Nederlands paspoort, na celstraf retour Marokko en grenzen dicht om erger te voorkomen.	Tue Dec 04 15:49:48 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	275990292346322944	None	2797	None	275990292346322944	None
None	False	...trokken hem naar de grond en begonnen op zijn hoofd en nek in te trappen” http://t.co/pxDGtxmN (2)	None	275873441540890624	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	275873441540890624	717	None	False	None	None	False	geertwilderspvv	Tue Dec 04 08:05:28 +0000 2012	None	None
False	None	False	Voorzitter Marcel Oost van BuitenBoys Almere: "Alleen de drie Marokkaanse spelers van Nieuw Sloten liepen naar onze grensrechter.... (1),	Tue Dec 04 08:04:52 +0000 2012	False	None	None	None	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	None	geertwilderspvv	None	275873289862270976	None	814	None	275873289862270976	None
None	False	Het afbreken van de ouderenzorg door Rutte II is onbeschaafd en onnodig. De PVV start een tegenoffensief: http://t.co/3xPOHUdg	None	275605564329971712	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	275605564329971712	154	None	False	None	None	False	geertwilderspvv	Mon Dec 03 14:21:01 +0000 2012	None	None
None	False	Islam is vrede? Dreigement Al-Shabaab: aanslag op Nederlandse parlement ivm schrappen verbod godslastering. #stopislam http://t.co/8IqvV4RH	None	275538278252433408	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	275538278252433408	302	None	False	None	None	False	geertwilderspvv	Mon Dec 03 09:53:39 +0000 2012	None	None
None	False	Op tournee tegen de moskee! http://t.co/brr0Y2JU http://t.co/Lg2z25up	None	274603378494013441	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	274603378494013441	274	None	False	None	None	False	geertwilderspvv	Fri Nov 30 19:58:41 +0000 2012	None	None
None	False	"Rutte heeft zijn ziel verkocht en schaadt de hele politiek": http://t.co/hWEOE6vH	None	274420512522899456	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	274420512522899456	219	None	False	None	None	False	geertwilderspvv	Fri Nov 30 07:52:03 +0000 2012	None	None
None	False	PVV-website tegen het sluiten van gevangenissen door Sts. Teeven!   http://t.co/MU8NdD0g	None	274200638982864896	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	274200638982864896	142	None	False	None	None	False	geertwilderspvv	Thu Nov 29 17:18:21 +0000 2012	None	None
None	False	Marcos Ruttos houdt kiezers opnieuw voor de gek: nauwelijks bezuinigingen op ontw.hulp! Maar wel miljard voor Grieken. http://t.co/uqFqcKYi	None	274046350528753664	<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>	False	None	None	274046350528753664	467	None	False	None	None	False	geertwilderspvv	Thu Nov 29 07:05:16 +0000 2012	None	None
